iern,school_id,school_name,region,division,district,leg_district,latitude,longitude,match_key,linear_distance_km,distance_outlier_percentile,nearby_school_count,isolation_forest_score,isolation_forest_outlier,coordinate_outlier_category,coordinate_outlier_method
2026-26084,302206,Sta. Cruz National High School,REGION V,SORSOGON,DONSOL WEST,1ST DISTRICT,12.9892636,123.4854475,regionv_sorsogon,58.787883,100,3,4.750666,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-38969,113402,Anaranan Te Saluringan,REGION X,BUKIDNON,CABANGLASAN,2ND DISTRICT,8.11946,125.36408,regionx_bukidnon,27.391577,11.91,4,3.940078,TRUE,isolation_forest_outlier,isolation_forest
2026-30299,117533,Hiyang-Hiyang Elementary School,NIR,CADIZ CITY,CADIZ CITY I DISTRICT,2ND DISTRICT,10.7447113,123.2363246,nir_cadiz,24.981939,100,1,6.200766,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-32896,119701,SANTANDER CENTRAL ELEMENTARY SCHOOL,REGION VII,CEBU,SANTANDER,2ND DISTRICT,9.4174311,123.3341187,regionvii_cebu,119.694622,99.3,11,4.13683,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-03303,502898,Halian Elementary School,CARAGA,SIARGAO,NUMANCIA WEST,1ST DISTRICT,9.927092,125.809422,caraga_siargao,26.559629,84.83,0,6.32359,TRUE,isolation_forest_outlier,isolation_forest
2026-24098,112583,Sabang ES,REGION V,CAMARINES SUR,DEL GALLEGO,1ST DISTRICT,13.8972521,122.5894128,regionv_camarinessur,82.048759,99.18,6,6.258231,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-13386,104656,Facundo Angeles MES,REGION III,BATAAN,MORONG,1ST DISTRICT,14.6914853,120.2496566,regioniii_bataan,29.661227,89.3,5,5.262528,TRUE,isolation_forest_outlier,isolation_forest
2026-06901,136466,V. E. Fugoso Memorial Elementary School,NCR,MANILA,SAMPALOC V,4TH DISTRICT,14.6657716,121.1176888,ncr_manila,16.636696,99.05,1,22.201889,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-26709,111839,Catburawan Elementary School,REGION V,LIGAO CITY,LIGAO SOUTH DISTRICT,3RD DISTRICT,13.0160252,123.3158937,regionv_ligao,34.826805,100,2,10.520205,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-45566,281532,Tbag Elementary School,REGION XII,GENERAL SANTOS CITY,SOUTH FATIMA,LONE DISTRICT,6.096634,124.973455,regionxii_generalsantos,23.860042,98.11,5,5.989902,TRUE,isolation_forest_outlier,isolation_forest
