iern,school_id,school_name,region,division,district,leg_district,latitude,longitude,match_key,linear_distance_km,distance_outlier_percentile,nearby_school_count,isolation_forest_score,isolation_forest_outlier,coordinate_outlier_category,coordinate_outlier_method
2026-41079,203001,Limunsudan Bayug Falls Elementary School,REGION X,ILIGAN CITY,ILIGAN CITY NORTHEAST II - B DISTRICT,LONE DISTRICT,8.098495,124.529943,regionx_iligan,34.83742,99.12,0,9.829036,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-04729,110114,Tumibo ES,MIMAROPA,OCCIDENTAL MINDORO,LUBANG,LONE DISTRICT,13.8288952,120.0962509,mimaropa_occidentalmindoro,87.320293,57.58,5,5.341872,TRUE,isolation_forest_outlier,isolation_forest
2026-00151,134538,Paugan Primary School Annex II,REGION IX,SULU,PARANG,1ST DISTRICT,11.8052557,120.6855745,regionix_sulu,640.545042,99.34,0,77.397583,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-13123,104432,Diagyan Elementary School,REGION III,AURORA,DILASAG,LONE DISTRICT,16.44452,122.19941,regioniii_aurora,71.709321,89.2,4,10.677573,TRUE,isolation_forest_outlier,isolation_forest
2026-25675,113926,Nazareno Elementary School,REGION V,MASBATE,SAN PASCUAL NORTH,1ST DISTRICT,13.1465112,122.9932926,regionv_masbate,110.366125,99.15,8,6.552262,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-17511,107516,Papaya Elementary School,REGION IV-A,BATANGAS,NASUGBU WEST,1ST DISTRICT,14.1757214,120.6095397,iva_batangas,67.319827,99.86,3,6.0836,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-43644,129838,Dulao Elementary School,REGION XII,NORTH COTABATO,ALAMADA NORTH,1ST DISTRICT,7.5589542,124.5226992,regionxii_northcotabato,87.730406,99.36,2,4.473921,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-10731,102587,Dadao ES,REGION II,CAGAYAN,CALAYAN WEST,2ND DISTRICT,19.25606499,121.4885867,regionii_cagayan,180.108345,98.15,6,7.596406,TRUE,isolation_forest_outlier,isolation_forest
2026-27241,115019,Semirara Elementary School,REGION VI,ANTIQUE,CALUYA,LONE DISTRICT,12.0691017,121.3959763,regionvi_antique,158.770012,99.44,3,15.013437,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-22411,196517,Teras Elementary School,REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,2ND DISTRICT,7.480475,122.310674,regionix_zamboangasibugay,48.764816,80.31,3,4.447374,TRUE,isolation_forest_outlier,isolation_forest
2026-11304,500064,Babuyan Claro Integrated School ,REGION II,CAGAYAN,CALAYAN EAST,2ND DISTRICT,19.4876352,121.9500304,regionii_cagayan,204.938687,99.88,1,9.178662,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-19777,301503,San Cristobal Integrated High School,REGION IV-A,SAN PABLO CITY,DAPDAPAN,3RD DISTRICT,14.0727531,121.4083242,iva_sanpablo,9.211915,96.3,1,6.264817,TRUE,isolation_forest_outlier,isolation_forest
2026-25672,113920,Laurente Elementary School,REGION V,MASBATE,SAN PASCUAL NORTH,1ST DISTRICT,13.13533172,123.0194605,regionv_masbate,107.629524,98.02,8,6.363408,TRUE,isolation_forest_outlier,isolation_forest
2026-26079,114181,Tinanogan Elementary School,REGION V,SORSOGON,DONSOL WEST,1ST DISTRICT,12.9496153,123.5345138,regionv_sorsogon,53.618424,98.86,8,4.041104,TRUE,isolation_forest_outlier,isolation_forest
2026-28108,115787,Nayawan PS,REGION VI,CAPIZ,TAPAZ EAST,2ND DISTRICT,11.236672,122.418091,regionvi_capiz,54.576381,98.94,7,4.918543,TRUE,isolation_forest_outlier,isolation_forest
2026-17866,108178,Aliang Elementary School,REGION IV-A,CAVITE,TRECE MARTIREZ CITY,6TH DISTRICT,14.287714,120.87173,iva_cavite,1.11807,1.55,23,4.297892,TRUE,isolation_forest_outlier,isolation_forest
2026-11748,103544,Diddadungan Elementary School,REGION II,ISABELA,PALANAN,2ND DISTRICT,16.989041,122.4713572,regionii_isabela,64.459854,87.78,0,7.880714,TRUE,isolation_forest_outlier,isolation_forest
2026-13388,300713,Morong NHS,REGION III,BATAAN,MORONG,1ST DISTRICT,14.6849828,120.2626321,regioniii_bataan,28.393021,87.91,7,4.953474,TRUE,isolation_forest_outlier,isolation_forest
2026-10442,502710,Dalumpinas Integrated School,REGION I,SAN FERNANDO CITY,SAN FERNANDO I,1ST DISTRICT,17.720112,121.297511,regioni_sanfernando,160.563837,100,0,84.264684,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-10728,102582,Cabudadan Elementary School,REGION II,CAGAYAN,CALAYAN WEST,2ND DISTRICT,19.2721559,121.4734596,regionii_cagayan,182.1219,98.52,6,7.721019,TRUE,isolation_forest_outlier,isolation_forest
2026-15275,105945,Salapungan Elementary School,REGION III,PAMPANGA,CANDABA NORTH,4TH DISTRICT,15.1386459,120.9347914,regioniii_pampanga,29.164885,99.47,9,4.534072,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-18482,108718,Masanga Elementary School,REGION IV-A,QUEZON,GEN. NAKAR,1ST DISTRICT,15.0137424,121.534667,iva_quezon,117.578538,93.42,1,8.012549,TRUE,isolation_forest_outlier,isolation_forest
2026-41120,128148,Dona Josefa F. Celdran MS,REGION X,ILIGAN CITY,ILIGAN CITY SOUTH I - B DISTRICT,LONE DISTRICT,11.011226,122.627084,regionx_iligan,356.554892,100,0,118.470864,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-12915,103841,Sta. Rosa Elementary School,REGION II,SANTIAGO CITY,SANTIAGO SOUTH,4TH DISTRICT,16.593582,121.597388,regionii_santiago,11.257341,100,3,7.213847,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-03465,132411,Nuevo Campo Elementary School,CARAGA,SURIGAO DEL NORTE,GIGAQUIT,2ND DISTRICT,11.454496,123.86205,caraga_surigaodelnorte,257.160088,99.5,0,56.365881,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-02141,136391,Sto. Tomas Elementary School,CAR,BAGUIO CITY,DISTRICT I,LONE DISTRICT,16.3371034,120.577784,car_baguio,7.863723,100,2,8.631113,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-18195,164507,New Little Baguio Elementary School,REGION IV-A,LAGUNA,SANTA MARIA,4TH DISTRICT,14.553595,121.483126,iva_laguna,31.570723,97.97,4,5.656628,TRUE,isolation_forest_outlier,isolation_forest
2026-33573,302931,Binabag NHS,REGION VII,BOGO CITY,BOGO I,4TH DISTRICT,10.9539035,123.9611757,regionvii_bogo,10.369995,100,3,5.277715,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-00150,134537,Panglima Dammang Primary School Annex III,REGION IX,SULU,PARANG,1ST DISTRICT,11.7525769,120.6855745,regionix_sulu,634.696205,99.12,0,76.693093,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-07803,100173,Pancian Elementary School,REGION I,ILOCOS NORTE,ADAMS-PAGUDPUD,1ST DISTRICT,18.55288,120.92545,regioni_ilocosnorte,52.134918,98.35,2,5.759263,TRUE,isolation_forest_outlier,isolation_forest
2026-31517,118496,Campatud Elementary School,REGION VII,BOHOL,LOON SOUTH,1ST DISTRICT,9.102097,124.013672,regionvii_bohol,64.220649,73.31,0,6.467011,TRUE,isolation_forest_outlier,isolation_forest
2026-11770,300554,Isabela School of Fisheries,REGION II,ISABELA,PALANAN,1ST DISTRICT,17.121538,122.437535,regionii_isabela,58.551972,83.82,4,7.47244,TRUE,isolation_forest_outlier,isolation_forest
2026-18976,109130,Pagsangahan ES,REGION IV-A,QUEZON,SAN FRANCISCO,3RD DISTRICT,13.2035153,122.6440555,iva_quezon,136.269288,99.06,8,5.960693,FALSE,extreme_outlier,univariate_percentile
2026-13863,306721,EMILIA PEREZ LIGON HIGH SCHOOL,REGION III,BULACAN,SAN MIGUEL NORTH,3RD DISTRICT,15.24688,121.0341,regioniii_bulacan,49.421331,98.05,4,6.772096,TRUE,isolation_forest_outlier,isolation_forest
2026-30699,117066,Balatogan Elementary School,NIR,HIMAMAYLAN CITY,DISTRICT 1,5TH DISTRICT,9.9470732,122.9479885,nir_himamaylan,18.880017,98.25,2,5.892412,TRUE,isolation_forest_outlier,isolation_forest
2026-45433,209013,Wal Elementary School,REGION XII,SULTAN KUDARAT,PALIMBANG I,2ND DISTRICT,6.178457,124.231384,regionxii_sultankudarat,75.433204,100,7,4.530637,FALSE,extreme_outlier,univariate_percentile
2026-27246,115026,Villarises Elementary School,REGION VI,ANTIQUE,CALUYA,LONE DISTRICT,12.077135,121.3692165,regionvi_antique,160.714669,99.81,2,15.490312,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-00761,135198,Anayan Elementary School,CAR,ABRA,TINEG,LONE DISTRICT,17.89402,120.961221,car_abra,38.868739,97.79,0,6.078498,TRUE,isolation_forest_outlier,isolation_forest
2026-27040,114852,Naasog Elementary School,REGION VI,AKLAN,MALAY,LONE DISTRICT,11.8920487,121.8933158,regionvi_aklan,51.607469,98.15,10,7.542604,TRUE,isolation_forest_outlier,isolation_forest
2026-06838,305298,Florentino Torres High School,NCR,MANILA,TONDO II,2ND DISTRICT,14.546367,120.975952,ncr_manila,5.29985,98.1,13,5.662923,TRUE,isolation_forest_outlier,isolation_forest
2026-38071,123823,Nipa Elementary School,REGION VIII,SAMAR (WESTERN SAMAR),TAGAPUL-AN,1ST DISTRICT,12.07606401,124.1950977,regionviii_samarwesternsamar,82.196287,97.98,11,8.863565,TRUE,isolation_forest_outlier,isolation_forest
2026-10142,102187,Calayab Elementary School,REGION I,LAOAG CITY,LAOAG CITY DISTRICT I,1ST DISTRICT,18.1494,120.53279,regioni_laoag,8.034409,100,8,4.634659,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-05420,110625,Talipanan Mangyan School,MIMAROPA,ORIENTAL MINDORO,PUERTO GALERA,1ST DISTRICT,13.4964,120.888596,mimaropa_orientalmindoro,32.794517,36.79,6,5.374825,TRUE,isolation_forest_outlier,isolation_forest
2026-29868,117157,Paz Vda. de Escamilla Elementary School,NIR,NEGROS OCCIDENTAL,HINOBAAN,6TH DISTRICT,9.518553,122.534576,nir_negrosoccidental,150.528948,97.92,3,5.854319,TRUE,isolation_forest_outlier,isolation_forest
2026-12651,104283,Isidro Paredes Elementary School ,REGION II,QUIRINO,DIFFUN I,LONE DISTRICT,12.880287,121.774239,regionii_quirino,404.868878,99.47,0,61.980693,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-38196,123945,Hibacaan Elementary School,REGION VIII,SAMAR (WESTERN SAMAR),WRIGHT II -SAN JOSE DE BUAN,2ND DISTRICT,13.694243,124.163339,regionviii_samarwesternsamar,227.446203,99.73,0,24.882435,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-04464,301538,Buenavista National High School - Lipata-Tungib Annex,MIMAROPA,MARINDUQUE,BUENAVISTA,LONE DISTRICT,13.2002041,122.0056306,mimaropa_marinduque,30.816253,99.56,5,4.279244,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-11755,103551,Dinapigue Central School,REGION II,ISABELA,PALANAN,4TH DISTRICT,16.5245254,122.2656924,regionii_isabela,79.80479,99.21,3,6.694089,FALSE,extreme_outlier,univariate_percentile
2026-36620,122568,Sulangan Central Elementary School,REGION VIII,EASTERN SAMAR,GUIUAN SOUTH,LONE DISTRICT,10.9352486,125.827566,regionviii_easternsamar,85.559819,98.06,1,5.066511,TRUE,isolation_forest_outlier,isolation_forest
2026-19880,109849,Mabato Elementary School,REGION IV-A,CALAMBA CITY,CALAMBA CITY WEST,2ND DISTRICT,14.157541,121.03871,iva_calamba,13.803915,98.63,6,6.730435,TRUE,isolation_forest_outlier,isolation_forest
2026-43569,129054,Angel F. Olarte Sr. Elementary School,REGION XI,DAVAO OCCIDENTAL,SARANGANI,LONE DISTRICT,5.392222,125.4217,regionxi_davaooccidental,119.566819,98.17,5,10.391469,TRUE,isolation_forest_outlier,isolation_forest
2026-10043,102095,Baracbac Elementary School,REGION I,"PANGASINAN II, BINALONAN",UMINGAN II,6TH DISTRICT,15.8569574,120.8498991,regioni_pangasinaniibinalonan,35.449761,99.11,5,4.676669,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-21303,125017,Bag-ong Silang Elementary School,REGION IX,ZAMBOANGA DEL SUR,DUMINGAG I,1ST DISTRICT,12.159768,122.831599,regionix_zamboangadelsur,483.941693,99.51,0,60.235545,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-34460,120428,Tigbao Elementary School,NIR,TANJAY CITY,PAMPLONA DISTRICT,2ND DISTRICT,9.3704,123.01141,nir_tanjay,22.664266,87.37,5,4.406068,TRUE,isolation_forest_outlier,isolation_forest
2026-03271,132220,Bay-ang Elementary School,CARAGA,SIARGAO,SOCORRO EAST DISTRICT,1ST DISTRICT,9.5699996,125.9411239,caraga_siargao,39.008368,99.31,2,5.794887,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-21653,125297,Limbayan ES,REGION IX,ZAMBOANGA DEL SUR,PITOGO,2ND DISTRICT,7.3660456,123.3994876,regionix_zamboangadelsur,53.660821,99.26,7,4.060525,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-26080,114182,Tuba ES,REGION V,SORSOGON,DONSOL WEST,1ST DISTRICT,12.991333,123.525894,regionv_sorsogon,54.407895,99.24,12,4.238743,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-13978,158509,Kambubuyugan Elementary School,REGION III,BULACAN,DONA REMEDIOS TRINIDAD,1ST DISTRICT,15.240796,121.14283,regioniii_bulacan,55.380667,99.22,4,7.665819,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-10038,300283,Baracbac National High School,REGION I,"PANGASINAN II, BINALONAN",UMINGAN II,6TH DISTRICT,15.85684,120.84961,regioni_pangasinaniibinalonan,35.433404,98.93,5,4.673472,TRUE,isolation_forest_outlier,isolation_forest
2026-20922,124723,Lipuno Elementary School Annex - Limpapa,REGION IX,ZAMBOANGA DEL NORTE,SIBUCO,3RD DISTRICT,7.165277,121.915784,regionix_zamboangadelnorte,222.908185,99.61,3,7.63123,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-16496,106717,Dolores Elementary School,REGION III,TARLAC CITY,TARLAC NORTH DISTRICT B,2ND DISTRICT,12.881344,121.777742,regioniii_tarlac,316.384235,100,0,172.629181,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-41939,501765,Mangkay Integrated School,REGION XI,DAVAO DEL NORTE,KAPALONG EAST,1ST DISTRICT,7.9027081,125.5220012,regionxi_davaodelnorte,94.045731,97.73,4,5.018591,TRUE,isolation_forest_outlier,isolation_forest
2026-27245,115025,Tinogboc Elementary School,REGION VI,ANTIQUE,CALUYA,LONE DISTRICT,12.0071224,121.4120515,regionvi_antique,151.732097,98.51,4,14.493886,TRUE,isolation_forest_outlier,isolation_forest
2026-07356,320205,Don Bosco High School ParaÃ‘aque,NCR,PARANAQUE CITY,PARANAQUE CITY DISTRICT I,1ST DISTRICT,14.588069,120.986938,ncr_paranaque,10.795785,100,0,8.508396,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-01319,305139,Cabiten National High School,CAR,BENGUET,MANKAYAN,LONE DISTRICT,16.9168359,120.7523827,car_benguet,57.362737,98.83,6,3.492687,TRUE,isolation_forest_outlier,isolation_forest
2026-16100,107004,Batiawan Elementary School Annex,REGION III,ZAMBALES,SUBIC,1ST DISTRICT,14.94653,120.44845,regioniii_zambales,65.143941,98.73,1,4.373557,TRUE,isolation_forest_outlier,isolation_forest
2026-36407,192018,Camang Elementary School,REGION VIII,SOUTHERN LEYTE,SAN RICARDO,2ND DISTRICT,9.9310233,125.2967484,regionviii_southernleyte,53.756864,95.63,6,4.351317,TRUE,isolation_forest_outlier,isolation_forest
2026-23715,173006,Patag Ibaba Elementary School,REGION V,CAMARINES NORTE,STA. ELENA,1ST DISTRICT,14.0854,122.3165,regionv_camarinesnorte,68.821929,99.37,3,5.329219,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-36401,122231,Benit Elementary School,REGION VIII,SOUTHERN LEYTE,SAN RICARDO,LONE DISTRICT,9.9198816,125.2909449,regionviii_southernleyte,53.716194,95.34,7,4.408674,TRUE,isolation_forest_outlier,isolation_forest
2026-07601,136907,Victoria Homes Elementary School,NCR,MUNTINLUPA CITY,MUNTINLUPA CITY DISTRICT I,LONE DISTRICT,14.3599923,121.0110213,ncr_muntinlupa,4.93805,67.86,9,8.328355,TRUE,isolation_forest_outlier,isolation_forest
2026-14510,105647,Kaunlaran Elementary School,REGION III,NUEVA ECIJA,RIZAL,2ND DISTRICT,12.890596,121.770192,regioniii_nuevaecija,328.721469,99.48,2,39.46598,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-06417,301752,Cajidiocan National High School,MIMAROPA,ROMBLON,CAJIDIOCAN-MAGDIWANG,LONE DISTRICT,12.3676466,122.6873712,mimaropa_romblon,50.890712,82.59,5,9.278654,TRUE,isolation_forest_outlier,isolation_forest
2026-40541,127774,Cabantian Elementary School,REGION X,MISAMIS ORIENTAL,MAGSAYSAY I (MAGSAYSAY DISTRICT),1ST DISTRICT,9.00926,125.22246,regionx_misamisoriental,91.131994,99.05,9,5.548104,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-01993,136307,Mulliang Elementary School,CAR,MT. PROVINCE,PARACELIS,LONE DISTRICT,17.1464,121.5163,car_mt,57.457051,98.12,6,9.393469,TRUE,isolation_forest_outlier,isolation_forest
2026-24931,500414,Palumbanes Integrated School,REGION V,CATANDUANES,CARAMORAN NORTH,LONE DISTRICT,14.0233841,124.0455985,regionv_catanduanes,34.457534,100,0,4.070331,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-26994,114814,Logohon Primary School,REGION VI,AKLAN,MADALAG,LONE DISTRICT,11.175746,122.0862,regionvi_aklan,64.326208,100,0,7.745781,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-13022,155506,Calindayagan Elementary School,REGION II,CITY OF ILAGAN,SAN ANTONIO,1ST DISTRICT,17.0345194,121.99756,regionii_ilagan,16.917378,97.96,10,4.098132,TRUE,isolation_forest_outlier,isolation_forest
2026-00024,134323,Pasil Elementary School,REGION IX,SULU,INDANAN,1ST DISTRICT,10.29094,123.8948408,regionix_sulu,568.744989,98.47,0,63.053546,TRUE,isolation_forest_outlier,isolation_forest
2026-28808,501492,Barangcalan Integrated School,REGION VI,ILOILO,CARLES,5TH DISTRICT,11.4910941,123.2331509,regionvi_iloilo,113.69902,98.3,8,7.483876,TRUE,isolation_forest_outlier,isolation_forest
2026-04790,110186,Talabaan Elementary School - Annex,MIMAROPA,OCCIDENTAL MINDORO,MAMBURAO,LONE DISTRICT,13.7889044,122.7684708,mimaropa_occidentalmindoro,242.309989,100,0,11.591556,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-42598,129359,Juan Mapayo Elementary School,REGION XI,DAVAO ORIENTAL,MANAY,1ST DISTRICT,12.918907,121.766281,regionxi_davaooriental,826.700374,99.7,0,59.214859,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-32897,119702,Talisay Elementary School,REGION VII,CEBU,SANTANDER,2ND DISTRICT,9.4508821,123.3041876,regionvii_cebu,118.301618,99.04,14,4.109198,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-24097,112582,Pasay  Elementary School,REGION V,CAMARINES SUR,DEL GALLEGO,1ST DISTRICT,13.94353,122.56109,regionv_camarinessur,87.153293,99.64,4,6.802736,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-10460,100082,P. Q. Pimentel Elementary School,REGION I,BATAC CITY,BATAC I,2ND DISTRICT,17.9961833,120.5233972,regioni_batac,10.532422,100,3,7.744064,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-23712,112286,Salvacion Elementary School,REGION V,CAMARINES NORTE,STA. ELENA,1ST DISTRICT,14.2168,122.3496,regionv_camarinesnorte,66.445274,97.81,4,5.015612,TRUE,isolation_forest_outlier,isolation_forest
2026-24045,112541,Guinahoan Elementary School,REGION V,CAMARINES SUR,CARAMOAN,4TH DISTRICT,13.9512835,123.8601475,regionv_camarinessur,77.143713,98,4,5.740393,TRUE,isolation_forest_outlier,isolation_forest
2026-11744,103538,Culasi Elementary School,REGION II,ISABELA,PALANAN,1ST DISTRICT,17.1205205,122.4408942,regionii_isabela,58.913663,84.16,4,7.512172,TRUE,isolation_forest_outlier,isolation_forest
2026-20316,107714,Sta. Anastacia Elementary School,REGION IV-A,STO. TOMAS CITY,STO. TOMAS NORTH,3RD DISTRICT,14.130397,121.137005,iva_stotomas,42.771517,100,9,4.654249,FALSE,extreme_outlier,univariate_percentile
2026-19958,109361,Sumilang Elementary School ,REGION IV-A,ANTIPOLO CITY,DISTRICT II-D,2ND DISTRICT,11.860932,121.742692,iva_antipolo,309.494298,98.53,0,142.777085,TRUE,isolation_forest_outlier,isolation_forest
2026-21182,196006,Upper Paya Elementary School,REGION IX,ZAMBOANGA DEL SUR,BAYOG,2ND DISTRICT,7.96404,122.98918,regionix_zamboangadelsur,50.265983,98.03,0,4.168317,TRUE,isolation_forest_outlier,isolation_forest
2026-40545,127782,Kauswagan Elementary School,REGION X,MISAMIS ORIENTAL,MAGSAYSAY I (MAGSAYSAY DISTRICT),1ST DISTRICT,9.03877,125.21272,regionx_misamisoriental,92.680893,99.53,9,5.678049,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-10438,500482,Lingsat Integrated School,REGION I,SAN FERNANDO CITY,SAN FERNANDO I,1ST DISTRICT,16.637631,120.3125262,regioni_sanfernando,2.692685,29.11,14,19.097749,TRUE,isolation_forest_outlier,isolation_forest
2026-41478,137005,Mansinao-An Elementary School,REGION XI,DAVAO DE ORO,LAAK,2ND DISTRICT,7.9792412,125.6592617,regionxi_davaodeoro,57.888706,99.52,2,4.953466,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-08735,100998,Cuenca ES,REGION I,LA UNION,PUGO,2ND DISTRICT,16.249191,120.494336,regioni_launion,44.889654,97.15,18,3.629449,TRUE,isolation_forest_outlier,isolation_forest
2026-16185,500766,Sitio Target Integrated School,REGION III,ANGELES CITY,WEST DISTRICT,1ST DISTRICT,15.167984,120.489995,regioniii_angeles,11.759133,100,3,10.68975,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-34637,120200,Bucalan Elementary School,NIR,CANLAON CITY,CANLAON CITY,1ST DISTRICT,10.323978,123.236046,nir_canlaon,7.480673,94.74,7,3.644317,TRUE,isolation_forest_outlier,isolation_forest
2026-09385,300257,Talospatang National High School,REGION I,"PANGASINAN I, LINGAYEN",MALASIQUI II,3RD DISTRICT,12.97617,121.930042,regioni_pangasinanilingayen,385.780203,99.24,0,45.88842,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-33983,303255,Negros Oriental High School,NIR,NEGROS ORIENTAL,SIBULAN,2ND DISTRICT,9.3140967,123.3019415,nir_negrosoriental,0.139885,0.19,8,3.115009,TRUE,isolation_forest_outlier,isolation_forest
2026-11894,103661,Panang Elementary School,REGION II,ISABELA,SAN AGUSTIN,4TH DISTRICT,16.420447,121.737243,regionii_isabela,82.018164,99.43,9,4.346791,FALSE,extreme_outlier,univariate_percentile
2026-16179,161001,Air Force City Elementary School,REGION III,ANGELES CITY,WEST DISTRICT,1ST DISTRICT,15.190828,120.5294581,regioniii_angeles,9.249755,94.23,6,8.513538,TRUE,isolation_forest_outlier,isolation_forest
2026-23728,309616,Bulala High School,REGION V,CAMARINES NORTE,STA. ELENA,1ST DISTRICT,16.305159,112.114577,regionv_camarinesnorte,1188.464066,100,0,121.207997,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-43651,129854,Upper Dado Central Elementary School,REGION XII,NORTH COTABATO,ALAMADA NORTH,1ST DISTRICT,7.514789,124.520588,regionxii_northcotabato,84.563595,98.98,6,4.132852,TRUE,isolation_forest_outlier,isolation_forest
2026-02833,212006,Ferdinand-Sabud Elementary School,CARAGA,AGUSAN DEL SUR,LORETO SOUTH,2ND DISTRICT,7.9854351,125.7196748,caraga_agusandelsur,67.257715,99.42,3,2.90292,FALSE,extreme_outlier,univariate_percentile
2026-07462,136811,Wawang Pulo Elementary School,NCR,VALENZUELA CITY,VALENZUELA CITY NORTH DISTRICT,1ST DISTRICT,14.7333747,120.9280365,ncr_valenzuela,8.843713,100,15,5.602602,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-05173,309034,Maasin High School,MIMAROPA,ORIENTAL MINDORO,BULALACAO,2ND DISTRICT,12.257179,121.38459,mimaropa_orientalmindoro,129.602023,100,3,4.078802,FALSE,extreme_outlier,univariate_percentile
2026-28093,115770,AcuÃ‘a ES,REGION VI,CAPIZ,TAPAZ EAST,2ND DISTRICT,11.204206,122.46737,regionvi_capiz,53.734967,98.09,8,4.891016,TRUE,isolation_forest_outlier,isolation_forest
2026-01327,502168,Mogao Integrated School,CAR,BENGUET,MANKAYAN,LONE DISTRICT,16.88447302,120.8242202,car_benguet,56.044356,97.67,22,3.438425,TRUE,isolation_forest_outlier,isolation_forest
2026-43835,130044,Montay Elementary School,REGION XII,NORTH COTABATO,LIBUNGAN WEST,1ST DISTRICT,7.283486,130.527533,regionxii_northcotabato,600.254855,99.62,0,40.928675,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-26066,114167,Malinao Elementary School,REGION V,SORSOGON,DONSOL WEST,1ST DISTRICT,12.9809313,123.5442547,regionv_sorsogon,52.417,98.48,16,3.979377,TRUE,isolation_forest_outlier,isolation_forest
2026-00146,134529,Lahi Primary School,REGION IX,SULU,PARANG,1ST DISTRICT,11.6050271,120.6855745,regionix_sulu,618.314885,98.91,0,74.719932,TRUE,isolation_forest_outlier,isolation_forest
2026-38077,303590,Baquiw National High School,REGION VIII,SAMAR (WESTERN SAMAR),TAGAPUL-AN,1ST DISTRICT,12.04643,124.18025,regionviii_samarwesternsamar,82.406892,98.52,11,8.94572,TRUE,isolation_forest_outlier,isolation_forest
2026-19170,108559,Bongliw ES,REGION IV-A,QUEZON,PANUKULAN,1ST DISTRICT,15.0520385,121.9436898,iva_quezon,125.069305,96.14,5,8.15046,TRUE,isolation_forest_outlier,isolation_forest
2026-10056,102109,Maseil-seil Alo-o Elementary School,REGION I,"PANGASINAN II, BINALONAN",UMINGAN II,6TH DISTRICT,15.9140489,120.8811253,regioni_pangasinaniibinalonan,34.90309,98.22,10,4.473434,TRUE,isolation_forest_outlier,isolation_forest
2026-03457,305954,Cagdianao National High School,CARAGA,SURIGAO DEL NORTE,CLAVER,2ND DISTRICT,9.531085,125.861819,caraga_surigaodelnorte,49.493095,98.51,5,5.217602,TRUE,isolation_forest_outlier,isolation_forest
2026-36287,303476,Pintuyan National High School,REGION VIII,SOUTHERN LEYTE,PINTUYAN,LONE DISTRICT,11.537926,123.462015,regionviii_southernleyte,217.721985,100,0,27.427368,TRUE,extreme_outlier,univariate_percentile+isolation_forest
2026-33199,303132,Lusaran National High School,REGION VII,CEBU CITY,NORTH DISTRICT 1,1ST DISTRICT,10.4909092,123.8920391,regionvii_cebu,16.967314,98.13,7,6.749597,TRUE,isolation_forest_outlier,isolation_forest
2026-02312,304702,Vinapor National High School,CARAGA,AGUSAN DEL NORTE,CARMEN,2ND DISTRICT,9.08706,125.21278,caraga_agusandelnorte,29.194109,66.51,3,4.194477,TRUE,isolation_forest_outlier,isolation_forest
2026-01991,136305,Makilo Elementary School,CAR,MT. PROVINCE,PARACELIS,LONE DISTRICT,17.2924,121.4948,car_mt,59.064366,99.25,1,9.843428,TRUE,extreme_outlier,univariate_percentile+isolation_forest
