region,division,position_description,category,plantilla_position,personnel_count
Region V - Bicol,Division of Masbate City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Ormoc City,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Ormoc City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Oriental Mindoro,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Santiago City,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Northern Samar,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Santiago City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Oriental Mindoro,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Maasin City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,2
Region IVB - MIMAROPA,Division of Oriental Mindoro,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Maasin City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Batac City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Ifugao,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region IVB - MIMAROPA,Division of Oriental Mindoro,School Librarian I,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Muntinlupa,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Candon City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Leyte,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Palawan,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Palawan,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Leyte,Assistant Schools Division Superintendent,Related-Teaching Personnel,Unfilled,2
Region II - Cagayan Valley,Division of Quirino,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region VIII - Eastern Visayas,Division of Eastern Samar,School Librarian I,Related-Teaching Personnel,Unfilled,2
Region IVB - MIMAROPA,Division of Palawan,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Quirino,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Taguig and Pateros,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Eastern Samar,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Ifugao,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Palawan,Registrar I,Related-Teaching Personnel,Unfilled,2
Region IVB - MIMAROPA,Division of Palawan,School Librarian I,Related-Teaching Personnel,Unfilled,2
Region V - Bicol,Division of Camarines Sur,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Masbate,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Catbalogan City,Registrar I,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Catbalogan City,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Region VIII - Eastern Visayas,Division of Catbalogan City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region IVB - MIMAROPA,Division of Puerto Princesa City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Catbalogan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Nueva Vizcaya,School Librarian II,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Puerto Princesa City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region VIII - Eastern Visayas,Division of Calbayog City,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Calbayog City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Puerto Princesa City,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Region VIII - Eastern Visayas,Division of Borongan City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Puerto Princesa City,Registrar I,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Abra,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region VIII - Eastern Visayas,Division of Borongan City,Registrar I,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Candon City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Masbate,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Muntinlupa,Registrar I,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Dagupan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Romblon,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Nueva Vizcaya,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Nueva Vizcaya,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Biliran,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Region VIII - Eastern Visayas,Division of Biliran,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Ligao City,Registrar I,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Biliran,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Cordillera Administrative Region (CAR),Division of Apayao,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Baybay City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Division of Baybay City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IVB - MIMAROPA,Division of Romblon,School Librarian I,Related-Teaching Personnel,Filled,2
Region VIII - Eastern Visayas,Central Office/Staff Bureaus/ROs,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Toledo City,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Toledo City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region VII - Central Visayas,Division of Toledo City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Isabela,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Ligao City,Guidance Counselor II,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Talisay City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Caloocan,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Tagbilaran City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Ilagan City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Navotas City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IX - Zamboanga Peninsula,Division of Dapitan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Ligao City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Ilocos Norte,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of San Juan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IX - Zamboanga Peninsula,Division of Dapitan City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region I - Ilocos,Division of Ilocos Norte,Guidance Coordinator III,Related-Teaching Personnel,Unfilled,2
National Capital Region (NCR),Division of Parañaque,Public Schools District Supervisor,Related-Teaching Personnel,Unfilled,2
Region I - Ilocos,Division of Pangasinan I,Guidance Coordinator III,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Ilagan City,Registrar I,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Ilagan City,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Tagbilaran City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IX - Zamboanga Peninsula,Division of Dapitan City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Naga City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region IX - Zamboanga Peninsula,Division of Dipolog City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Naga City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region VII - Central Visayas,Division of Naga City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IX - Zamboanga Peninsula,Division of Dipolog City,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Ilagan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Pangasinan I,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Mandaue City,Registrar I,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Catanduanes,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Cauayan City,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Mandaue City,Guidance Counselor I,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Navotas City,Guidance Counselor I,Related-Teaching Personnel,Unfilled,2
Region VII - Central Visayas,Division of Mandaue City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
National Capital Region (NCR),Division of Caloocan,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Lapu-lapu City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IX - Zamboanga Peninsula,Division of Isabela City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Danao City,Guidance Counselor II,Related-Teaching Personnel,Unfilled,2
Region IX - Zamboanga Peninsula,Division of Isabela City,Guidance Coordinator I,Related-Teaching Personnel,Unfilled,2
Region II - Cagayan Valley,Division of Cauayan City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IX - Zamboanga Peninsula,Division of Isabela City,Guidance Counselor III,Related-Teaching Personnel,Unfilled,2
Region VII - Central Visayas,Division of Cebu Province,Senior Education Program Specialist,Related-Teaching Personnel,Unfilled,2
Region VII - Central Visayas,Division of Cebu Province,Senior Education Program Specialist,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Ilocos Sur,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Cebu Province,School Librarian I,Related-Teaching Personnel,Filled,2
Region V - Bicol,Division of Legazpi City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Cagayan,School Librarian II,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Cebu Province,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region IX - Zamboanga Peninsula,Division of Pagadian City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Cebu Province,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Cagayan,School Librarian I,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Cebu City,Guidance Counselor I,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Cebu City,College Librarian I,Related-Teaching Personnel,Filled,2
Region IX - Zamboanga Peninsula,Division of Pagadian City,Registrar I,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Ilocos Sur,Guidance Counselor III,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Cebu City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Carcar City,Registrar I,Related-Teaching Personnel,Filled,2
Region VII - Central Visayas,Division of Carcar City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Cagayan,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region IX - Zamboanga Peninsula,Division of Zamboanga City,Chief Education Supervisor,Related-Teaching Personnel,Filled,2
Region II - Cagayan Valley,Division of Cagayan,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
Region I - Ilocos,Division of Pangasinan I,Assistant Schools Division Superintendent,Related-Teaching Personnel,Filled,2
